year,province,track,score,rank
2025,吉林省,history,673,11
2025,吉林省,history,672,12
2025,吉林省,history,671,16
2025,吉林省,history,670,17
2025,吉林省,history,669,23
2025,吉林省,history,668,24
2025,吉林省,history,667,27
2025,吉林省,history,666,29
2025,吉林省,history,665,31
2025,吉林省,history,664,37
2025,吉林省,history,663,39
2025,吉林省,history,662,46
2025,吉林省,history,661,47
2025,吉林省,history,660,55
2025,吉林省,history,659,56
2025,吉林省,history,658,59
2025,吉林省,history,657,65
2025,吉林省,history,656,80
2025,吉林省,history,655,87
2025,吉林省,history,654,97
2025,吉林省,history,653,103
2025,吉林省,history,652,115
2025,吉林省,history,651,124
2025,吉林省,history,650,137
2025,吉林省,history,649,149
2025,吉林省,history,648,158
2025,吉林省,history,647,168
2025,吉林省,history,646,177
2025,吉林省,history,645,191
2025,吉林省,history,644,199
2025,吉林省,history,643,211
2025,吉林省,history,642,221
2025,吉林省,history,641,234
2025,吉林省,history,640,241
2025,吉林省,history,639,249
2025,吉林省,history,638,259
2025,吉林省,history,637,273
2025,吉林省,history,636,287
2025,吉林省,history,635,301
2025,吉林省,history,634,316
2025,吉林省,history,633,335
2025,吉林省,history,632,348
2025,吉林省,history,631,367
2025,吉林省,history,630,393
2025,吉林省,history,629,410
2025,吉林省,history,628,434
2025,吉林省,history,627,459
2025,吉林省,history,626,480
2025,吉林省,history,625,504
2025,吉林省,history,624,518
2025,吉林省,history,623,542
2025,吉林省,history,622,565
2025,吉林省,history,621,583
2025,吉林省,history,620,601
2025,吉林省,history,619,627
2025,吉林省,history,618,657
2025,吉林省,history,617,676
2025,吉林省,history,616,704
2025,吉林省,history,615,722
2025,吉林省,history,614,754
2025,吉林省,history,613,783
2025,吉林省,history,612,813
2025,吉林省,history,611,848
2025,吉林省,history,610,875
2025,吉林省,history,609,906
2025,吉林省,history,608,928
2025,吉林省,history,607,960
2025,吉林省,history,606,993
2025,吉林省,history,605,1021
2025,吉林省,history,604,1048
2025,吉林省,history,603,1068
2025,吉林省,history,602,1101
2025,吉林省,history,601,1144
2025,吉林省,history,600,1175
2025,吉林省,history,599,1213
2025,吉林省,history,598,1249
2025,吉林省,history,597,1281
2025,吉林省,history,596,1312
2025,吉林省,history,595,1343
2025,吉林省,history,594,1386
2025,吉林省,history,593,1422
2025,吉林省,history,592,1449
2025,吉林省,history,591,1493
2025,吉林省,history,590,1535
2025,吉林省,history,589,1579
2025,吉林省,history,588,1620
2025,吉林省,history,587,1652
2025,吉林省,history,586,1717
2025,吉林省,history,585,1769
2025,吉林省,history,584,1816
2025,吉林省,history,583,1849
2025,吉林省,history,582,1905
2025,吉林省,history,581,1964
2025,吉林省,history,580,2018
