year,province,track,score,rank
2025,吉林省,physics,704,11
2025,吉林省,physics,703,12
2025,吉林省,physics,702,14
2025,吉林省,physics,701,16
2025,吉林省,physics,700,19
2025,吉林省,physics,699,23
2025,吉林省,physics,698,25
2025,吉林省,physics,697,30
2025,吉林省,physics,696,37
2025,吉林省,physics,695,44
2025,吉林省,physics,694,49
2025,吉林省,physics,693,53
2025,吉林省,physics,692,59
2025,吉林省,physics,691,69
2025,吉林省,physics,690,76
2025,吉林省,physics,689,80
2025,吉林省,physics,688,84
2025,吉林省,physics,687,91
2025,吉林省,physics,686,97
2025,吉林省,physics,685,107
2025,吉林省,physics,684,112
2025,吉林省,physics,683,117
2025,吉林省,physics,682,125
2025,吉林省,physics,681,138
2025,吉林省,physics,680,149
2025,吉林省,physics,679,166
2025,吉林省,physics,678,183
2025,吉林省,physics,677,202
2025,吉林省,physics,676,229
2025,吉林省,physics,675,256
2025,吉林省,physics,674,277
2025,吉林省,physics,673,299
2025,吉林省,physics,672,312
2025,吉林省,physics,671,332
2025,吉林省,physics,670,351
2025,吉林省,physics,669,370
2025,吉林省,physics,668,390
2025,吉林省,physics,667,417
2025,吉林省,physics,666,438
2025,吉林省,physics,665,460
2025,吉林省,physics,664,498
2025,吉林省,physics,663,533
2025,吉林省,physics,662,571
2025,吉林省,physics,661,603
2025,吉林省,physics,660,634
2025,吉林省,physics,659,673
2025,吉林省,physics,658,706
2025,吉林省,physics,657,749
2025,吉林省,physics,656,777
2025,吉林省,physics,655,821
2025,吉林省,physics,654,867
2025,吉林省,physics,653,906
2025,吉林省,physics,652,954
2025,吉林省,physics,651,1007
2025,吉林省,physics,650,1045
2025,吉林省,physics,649,1091
2025,吉林省,physics,648,1138
2025,吉林省,physics,647,1187
2025,吉林省,physics,646,1252
2025,吉林省,physics,645,1299
2025,吉林省,physics,644,1354
2025,吉林省,physics,643,1410
2025,吉林省,physics,642,1489
2025,吉林省,physics,641,1555
2025,吉林省,physics,640,1618
2025,吉林省,physics,639,1679
2025,吉林省,physics,638,1742
2025,吉林省,physics,637,1814
2025,吉林省,physics,636,1884
2025,吉林省,physics,635,1953
2025,吉林省,physics,634,2025
2025,吉林省,physics,633,2104
2025,吉林省,physics,632,2175
2025,吉林省,physics,631,2255
2025,吉林省,physics,630,2344
2025,吉林省,physics,629,2402
2025,吉林省,physics,628,2492
2025,吉林省,physics,627,2572
2025,吉林省,physics,626,2664
2025,吉林省,physics,625,2761
2025,吉林省,physics,624,2842
2025,吉林省,physics,623,2951
2025,吉林省,physics,622,3040
2025,吉林省,physics,621,3139
2025,吉林省,physics,620,3220
2025,吉林省,physics,619,3336
2025,吉林省,physics,618,3450
2025,吉林省,physics,617,3549
2025,吉林省,physics,616,3646
2025,吉林省,physics,615,3741
2025,吉林省,physics,614,3842
2025,吉林省,physics,613,3945
2025,吉林省,physics,612,4071
2025,吉林省,physics,611,4183
2025,吉林省,physics,610,4305
2025,吉林省,physics,609,4428
2025,吉林省,physics,608,4527
2025,吉林省,physics,607,4656
2025,吉林省,physics,606,4783
2025,吉林省,physics,605,4904
2025,吉林省,physics,604,5028
2025,吉林省,physics,603,5137
2025,吉林省,physics,602,5277
2025,吉林省,physics,601,5404
2025,吉林省,physics,600,5529
2025,吉林省,physics,599,5663
2025,吉林省,physics,598,5798
2025,吉林省,physics,597,5939
2025,吉林省,physics,596,6091
2025,吉林省,physics,595,6222
2025,吉林省,physics,594,6384
2025,吉林省,physics,593,6546
2025,吉林省,physics,592,6709
2025,吉林省,physics,591,6858
2025,吉林省,physics,590,7007
2025,吉林省,physics,589,7168
2025,吉林省,physics,588,7336
2025,吉林省,physics,587,7512
2025,吉林省,physics,586,7648
2025,吉林省,physics,585,7806
2025,吉林省,physics,584,7970
2025,吉林省,physics,583,8123
2025,吉林省,physics,582,8295
2025,吉林省,physics,581,8467
2025,吉林省,physics,580,8621
2025,吉林省,physics,579,8814
2025,吉林省,physics,578,8977
2025,吉林省,physics,577,9138
2025,吉林省,physics,576,9342
2025,吉林省,physics,575,9528
2025,吉林省,physics,574,9715
2025,吉林省,physics,573,9871
2025,吉林省,physics,572,10038
2025,吉林省,physics,571,10198
2025,吉林省,physics,570,10382
2025,吉林省,physics,569,10573
2025,吉林省,physics,568,10750
2025,吉林省,physics,567,10948
2025,吉林省,physics,566,11138
2025,吉林省,physics,565,11340
2025,吉林省,physics,564,11509
2025,吉林省,physics,563,11706
2025,吉林省,physics,562,11931
2025,吉林省,physics,561,12132
2025,吉林省,physics,560,12338
2025,吉林省,physics,559,12517
